Arduino Pin;MUX channel;TYPE;Optional;Sim Connect CMD
38;0;B;;MobiFlight.AS1000_PFD_MENU_BUTTON
38;1;B;;MobiFlight.AS1000_PFD_DIRECTTO_BUTTON
38;2;EA;1;ENCODER_CMD_1
38;3;B;;
38;4;EB;1;ENCODER_CMD_3
38;5;EA;2;ENCODER_CMD_4
38;6;EB;2;ENCODER_CMD_5
38;7;B;;ENCODER_CMD_6
38;8;B;;
38;9;B;;
38;10;B;;
38;11;B;;
38;12;X;;
38;13;EA;3;ENCODER_CMD_7
38;14;EB;3;ENCODER_CMD_8
38;15;B;;ENCODER_CMD_9
39;0;B;;ENCODER_CMD_8
39;1;B;;ENCODER_CMD_8
39;2;B;;
39;3;B;;ENCODER_CMD_8
39;4;B;;ENCODER_CMD_8
39;5;B;;
39;6;B;;ENCODER_CMD_8
39;7;B;;ENCODER_CMD_8
39;8;B;;AP_HDG_HOLD
39;9;B;;ENCODER_CMD_8
39;10;B;;ENCODER_CMD_8
39;11;B;;
39;12;B;;MobiFlight.AS1000_PFD_ENTER_BUTTON
39;13;B;;MobiFlight.AS1000_PFD_CLEAR_BUTTON
39;14;B;;MobiFlight.AS1000_PFD_PROCEDURE_BUTTON
39;15;B;;MobiFlight.AS1000_PFD_FLIGHTPLAN_BUTTON
40;0;EA;4;ENCODER_CMD_10
40;1;B;;ENCODER_CMD_11
40;2;EA;5;ENCODER_CMD_12
40;3;EB;5;ENCODER_CMD_13
40;4;R;50;MobiFlight.AS1000_PFD_SOFTKEYS_12
40;5;R;51;MobiFlight.AS1000_PFD_SOFTKEYS_11
40;6;R;52;MobiFlight.AS1000_PFD_SOFTKEYS_10
40;7;R;53;MobiFlight.AS1000_PFD_SOFTKEYS_9
40;8;B;;MobiFlight.AS1000_PFD_SOFTKEYS_8
40;9;B;;MobiFlight.AS1000_PFD_SOFTKEYS_7
40;10;B;;MobiFlight.AS1000_PFD_SOFTKEYS_6
40;11;B;;MobiFlight.AS1000_PFD_SOFTKEYS_5
40;12;B;;MobiFlight.AS1000_PFD_SOFTKEYS_4
40;13;B;;MobiFlight.AS1000_PFD_SOFTKEYS_3
40;14;B;;MobiFlight.AS1000_PFD_SOFTKEYS_2
40;15;B;;MobiFlight.AS1000_PFD_SOFTKEYS_1
41;0;EA;6;ENCODER_CMD_14
41;1;EB;6;ENCODER_CMD_15
41;2;B;;ENCODER_CMD_16
41;3;EA;7;ENCODER_CMD_17
41;4;EB;7;ENCODER_CMD_18
41;5;EA;8;ENCODER_CMD_19
41;6;EB;8;ENCODER_CMD_20
41;7;B;;ENCODER_CMD_21
41;8;EA;9;ENCODER_CMD_22
41;9;EB;9;ENCODER_CMD_23
41;10;EA;10;ENCODER_CMD_24
41;11;EB;10;ENCODER_CMD_25
41;12;B;;ENCODER_CMD_26
41;13;EA;11;ENCODER_CMD_27
41;14;EB;11;ENCODER_CMD_28
41;15;EB;4;ENCODER_CMD_29
42;0;B;;MobiFlight.AS1000_MFD_MENU_BUTTON
42;1;B;;MobiFlight.AS1000_MFD_DIRECTTO_BUTTON
42;2;EA;12;ENCODER_CMD_30
42;3;EB;12;ENCODER_CMD_31
42;4;B;;ENCODER_CMD_32
42;5;EA;13;ENCODER_CMD_33
42;6;EB;13;ENCODER_CMD_34
42;7;B;;ENCODER_CMD_35
42;8;B;;
42;9;B;;
42;10;B;;
42;11;B;;
42;12;B;;
42;13;EA;14;ENCODER_CMD_33
42;14;EB;14;ENCODER_CMD_34
42;15;B;;
43;0;B;;
43;1;B;;
43;2;B;;
43;3;B;;
43;4;B;;
43;5;B;;
43;6;B;;
43;7;B;;
43;8;B;;
43;9;B;;
43;10;B;;
43;11;B;;
43;12;B;;MobiFlight.AS1000_MFD_ENTER_BUTTON
43;13;B;;MobiFlight.AS1000_MFD_CLEAR_BUTTON
43;14;B;;MobiFlight.AS1000_MFD_PROCEDURE_BUTTON
43;15;B;;MobiFlight.AS1000_MFD_FLIGHTPLAN_BUTTON
44;0;EA;15;
44;1;EB;15;
44;2;EA;16;
44;3;EB;16;
44;4;B;;MobiFlight.AS1000_PFD_SOFTKEYS_12
44;5;B;;MobiFlight.AS1000_PFD_SOFTKEYS_11
44;6;B;;MobiFlight.AS1000_PFD_SOFTKEYS_10
44;7;B;;MobiFlight.AS1000_PFD_SOFTKEYS_9
44;8;B;;MobiFlight.AS1000_PFD_SOFTKEYS_8
44;9;B;;MobiFlight.AS1000_PFD_SOFTKEYS_7
44;10;B;;MobiFlight.AS1000_PFD_SOFTKEYS_6
44;11;B;;MobiFlight.AS1000_PFD_SOFTKEYS_5
44;12;B;;MobiFlight.AS1000_PFD_SOFTKEYS_4
44;13;B;;MobiFlight.AS1000_PFD_SOFTKEYS_3
44;14;B;;MobiFlight.AS1000_PFD_SOFTKEYS_2
44;15;B;;MobiFlight.AS1000_PFD_SOFTKEYS_1
45;0;B;;ENGINE_AUTO_START
45;1;B;;ENGINE_AUTO_START
45;2;S;;TOGGLE_MASTER_ALTERNATOR
45;3;S;;TOGGLE_MASTER_BATTERY
45;4;S;;
45;5;X;;
45;6;S;;TOGGLE_BEACON_LIGHTS
45;7;S;;LANDING_LIGHTS_TOGGLE
45;8;S;;TOGGLE_TAXI_LIGHTS
45;9;S;;
45;10;B;;
45;11;B;;
45;12;B;;
45;13;B;;
45;14;B;;
45;15;B;;
46;0;B;;
46;1;B;;
46;2;B;;
46;3;B;;
46;4;B;;
46;5;B;;
46;6;B;;
46;7;B;;
46;8;B;;
46;9;B;;
46;10;B;;
46;11;B;;
46;12;B;;
46;13;B;;
46;14;B;;
46;15;B;;
